,overall,reviewTime,reviewText
397273,1.0,2004,"I have worn Nantuckets for years, quality eye wear and very strong. I wrecked my mountain bike while wearing them. The handle bar came up into my eye and the lens never even cracked. I mean, seriously in the eye, (I landed about 30 feet from the bike.) Why do I need to replace them? I keep losing them or I'm sure they would last forever."
397274,1.0,2004,"I have Keratoconus which is a degenerative eye disease that causes my eyes to be extra sensitive to light and wind.

Wiley-X sunglasses/goggles work great! Not only do they offer great protection from excessive light by having foam seals around the edges they also protect against wind and debris.

Technically they are goggles but they are slim enough that looking at them you would likely not know it especially when you have the sunglass arms on them instead of the bands.

At about a hundred dollars they are not cheep but in my opinion they are defiantly worth it!"
397275,1.0,2004,"The Ray-Ban 9003/S are the most expensive sunglasses I've bought for my 2 year old, but the quality is very good. My son wears sunglasses every day (doctor's orders), so we needed some tough glasses. He has worn these every day for 5 months, and they're in great shape. They are lightweight and have grippy rubber on the arms to help hold them in place. They wrap around the head, which is important for blocking light from the sides. If you're not sure whether your little one will wear sunglasses, start with something less expensive. You can buy a cheap pair at most kids stores during the summer season for less than $5, but if your child loves (or needs) to wear sunglasses, these are very stylish and well made."
397277,-1.0,2005,"You have GOT to be kidding!  Who sells or buys clothing based on silly sketch?  Only total idiots!

Amazon, you should be ashamed of yourself for soliciting your customers with sketches of items.  Laughs... so tacky!"
397279,-1.0,2006,"First of all... let me say that i have already reviewed this item before and the review is missing. I bought this in 2005 as a valentine's day present for my wife. what we ended up getting was a very cheap looking bracelet in which one of the diamonds was missing. the clasp is very difficult to get on, and so far we have lost 3 diamonds from the chain. Please do not waste your money on this item.

The photo does make it look brilliant. but there have been two separate and unrelated jewelry purchases that i have made through amazon, and all i can say is,... i will NEVER buy jewelry online AGAIN!

i do think amazon has other great products... jewelry is not one of them."
397281,-1.0,2006,I purchased an item from them which shipped late.  When it arrived it was not as advertised. you could not even see the diamonds to the naked eye.  It was also much smaller than advertised.  When I went to return it they charged me a $18 restocking fee which is contrary to their money back guarantee.  Don't believe or trust them.  My CC company returned the difference because they found szul in the wrong.  Don't be fooled.  Be warned instead.
397282,-1.0,2006,"I agree...they are very dark and cloudy. Also, one of the earring's back just slides right off. They were really small too. I guess they might be worth the price...too bad I bought them when they were $99."
397283,1.0,2005,"I bought these 9 months ago and have gotten so much wear out of them.  They are small, but very sparkly and simple.  These are a great value!"
397284,-1.0,2004,"Very poor quaility, dark and cloudy.  VERY disappointed.  Not worth five cents in my opinion."
397285,1.0,2004,These stones look so beautiful.  I bet my girl would really love 'em.
397286,1.0,2003,"The seller delivered as promised and AHEAD of schedule.  The earings were as advertised and without defect.  Be sure to realize the size of these, they are rather small, but perfect diamond studs.  A nice shopping experience!"
397288,1.0,2006,I am very pleased with the skyway rollaround luggage piece that I purchased in August.
397289,1.0,2006,This was purchased on clearance. The price was right and it works great! Had a lot more to bring home than I took on the trip. Unzipped the suitcases expanding area and then had lots of room! Nice and sturdy!
397291,1.0,2006,This suitcase is very nice looking and bigger than the one that NWA destroyed and refused to pay for.  The front pocket is also larger and more roomy.  The bag looks quite substantial.  Only time will tell if it can withstand the abuse that will be heaped upon it by the uncaring airlines.
397295,1.0,2006,Iwas pleased with the promtness in receiving the bag and with how well the bag has perfomed so far
397296,0.0,2006,"Broken handle on delivery. I returned it and spent a little more money to get a better quality bag. While I believe that it is worth $30, something more durable is a better choice for me."
397297,1.0,2006,"I bought this because it was good value and had the maximal measures allowed for carry-on by the airlines I use. It was also lightweight thereby not subtracting substantially from my carry-on weight allowance.

So far it has made it to multiple local and international flights and has fit well into the overhead bins, even when not sideways, though you may need to turn it upside down so that wheels face up for the smaller bins. Sideways you can fit it very easily, but some airlines recommend against this position as it may leave less room for other customers with similar carry-on suitcases."
397299,1.0,2003,"I was very surprised to receive these earrings for Christmas.  I know that these will become my go-to pair of earrings.  They are big enough to be seen, but not so gargantuan that they are overly-heavy or hoochie.  I especially like the little pouch included to keep them in.
Great bargain and great item."
397304,0.0,2005,"This is a nice little hoop earring. I have been looking for a really small pair of white gold diamond hoop earrings and these were exactly what I had in mind. The problem is that the diamonds are not very good quality. The diamonds are quite cloudy, but since they are so small, you really can't tell unless you look very closely. There is still some sparkle, mostly from the white gold prongs that hold the diamonds in place. If it were not for that, I would rate them 5 stars. I did keep them because the size is so perfect and the price was right, plus free shipping. Overall, they are OK."
397305,0.0,2004,"I ordered these earrings for my Mom for Christmas... she actually picked them out & had seen the size indicated online & thought they'd be ok, but after she received them we realized they're actually quite small!! So just factor in to purchasing them that these are pretty teeny earrings. Other than that, they're nice - just to small for what my Mom was hoping for."
397316,1.0,2003,These beautiful earrings are so Stylish! I got these Earrings for my birthday and I love them!
397319,1.0,2006,The purchase and delivery was fast. The ring also has a nice weight and feels great on the hand. A++++
397320,1.0,2003,"Rhodochrosite calls one's twin soul, their eternal lover. It's a must for someone in love OR someone who hopes to be."
397326,1.0,2006,"I bought this ring as my wedding band to match the engagement ring my now husband had given me.  I am very happy with the purchase.  The ring itself is beautiful and exactly how amazon described it.  Shipping was faster than expected.

Overall, very happy with the service and product from amazon.com....THANKS!"
397327,1.0,2006,"This ring looks great, my husband love it. The fact that it's only 2mm Half Round Band, gives it a very different look. We received in less than two, we were very pleased. A great quality for the unexpensive ring, you could save the rest of the money for the honeymood....as we did!!"
397328,1.0,2005,"This ring is just what i was hoping it would be.  Tiny, and comfortable."
397329,0.0,2005,"This ring is very delicate in appearance and is comfortable, however, the gold is dull and somewhat bronze-like in color.

I cannot wear it next to my other white gold jewelry, as it just looks drab. I also have this same band in the 2.5mm width... shinier and brighter and much prettier, without being too wide. I highly recommend the wider version. You'll be pleased with that one."
397330,1.0,2004,"The item was not quite what I was expecting.  Although I knew that the length of the necklace was 16 inches, not seeing the whole necklace in the picture, I assumed that the links of jade were going to be bigger.  I was expecting a little more substancial piece.  But, after I put the necklace on and wore it for awhile, I was rather surprised by how well the size matching of the jade to the legnth of the overall ""fit"" the necklace rather well, and it was weighted perfectly.  It was a comfortable piece to wear and I grew to love it more after actually wearing it.  A thing that I love that I don't think is mentioned is the clasp on the actual dragon is such that it can be removed from this necklace and put on other large necklaces. I have not tried moving it to a strand of pearls, but I would think that it might work!
I am giving it a four out of five because of that initial impression was not earth moving, but the piece is really quite nice.  If I wear it more and grow to love it more, I may regret not giving it a five!"
397342,1.0,2004,"This is a very eye-catching ring and looks like you spent WAY more than $19.99 for it. The stone is a nice deep color with flecks of green and red fire, and the CZs are really sparkly. I also like the fact that the sterling is rhodium plated so that it matches my white gold and platinum jewelry."
397343,-1.0,2005,These pants have a very course scratchy feel. They are going straight to goodwill.
397345,1.0,2004,"Beautiful ring!  Very nice quality, very substantial.  Affordable too, based on our research locally.  Similar ring selling for over $100 more at local jewelers."
397349,1.0,2005,"WELL I WANTED A FOUR STRAND SO BAD AND FINALLY FOUND THIS,AND IT IS A GORGEOUS NECKLACE,I CAN USE THE MULTI-CHAIN ON OTHER PENDANTS,TOO.THANKS AGAIN,GEMWORKS FOR SUCH BEAUTIFUL ITEMS AT GREAT PRICES."
397356,1.0,2006,"I'm currently deployed and this watch is for my wife's birthday. she has already owned this watch so i know exactly what to expect. I've always been a fan of fossil and so has my wife, so i know i can't go wrong with a fossil. Though her last one got destroyed it was of no fault of fossil. These watches are durable, stylish, and fitting for any attire, and for the price a very good deal. I recommend Fossil brand to any one looking for a new watch."
397357,1.0,2006,"I like the Fossil removable links, so I can size my watch without a jeweler.  I like the water resistancy, so that I can shower without worry.  I like the sleek look.

I sometimes have a hard time with viewing the face.  Perhaps if the background weren't blue it would be easier, but the glare hides the hands.  It generally takes me a bit to figure out what my watch says because of this."
397362,-1.0,2005,After receiving the replica all i could think about was how upset i was to have wasted 200 dollars. If i can turn back time i would not order this item. I shelfed it on my entertainment center and so far my friends seem to think its really cool. Maybe one of them wil make me an offer.
397363,1.0,2004,"Remember that scene from ""Hannibal"" where the depraved and obsessive billionaire Mason Verger, horribly mutilated by his own hand and Hannibal Lecter's powerful psychosis, bought Hannibal's protective mask from the flesh-chewing Good Doctor's former orderly?

Verger paid a few million for the privilege of wearing a brilliant but mortal serial killer's mask. I paid 150 bucks and got an immortal slasher's hockey mask, made from sturdy, battle-scarred resin, and bolted into place against lush blood-red velvet backing in its ominous black shadowbox. I mounted it by a bookshelf in one of the darkened corners of my study, and I tell ya---sometimes I fancy I can see crazed, darting eyes glaring out at me from the dark orbs of that infamous Hockey Mask.

And as I said, where poor Mason Verger paid a mint to get Hannibal's mask, I get Jason's mask *and* bloodthirsty revenant Freddy Krueger's deadly claw of leather and steel (alright, alright---plastic, resin, and rubber---but a man can dream). Bear in mind that while the glove has heft as well---even if it doesn't have retractable steel blades, which was what I was counting on---you can't remove it from the box without a screwdriver. Doubtless NECA, visions of 2,000 blade-gloved maniacs prowling the countryside and the inevitable lawsuits in mind, decided on plastic over flesh-ripping steel, but I'm still happy with the finished product.

So go ahead, summon up the Mask & Glove. I'm jaded, and it was my favorite gift (to myself) in the last decade. Buy it, hang it on the wall, and give a little love to your inner Slasher."
397364,0.0,2004,"I would recomend this one only to hardcore fans of the film Freddy VS Jason. Both the glove and the mask are attached into this box, but you can get them of by using a screwdriver as long as you're careful. Unlike the hockeymask, Freddy's glove is not wearable wich disapointed me a bit. Also, Jason's mask is missing it's famous axe-mark, but since they forgot it in the movie they problably saw no point in adding it here either."
397365,1.0,2004,"I purchased this and waited like I was 12 yrs old for the day it arrived. It finally arrived and I have many questions. Now , is this really an exact replica of Freddy's glove and Jason's mask from the film? Why was the red felt back panel not glued in straight? Why weren't the gloves blades made of metal? Why was the glove not leather? Why wasn't it fitted with a glass front instead of plastic? Now having asked these questions after paying 200+ for this I still say it rules only because its probably the best your average joe can get without making his own to display. I contend a person could and probably has made an actual replica by now that is completely real! If so lets hope we can afford it.  FOUR STARS ****-"
397366,-1.0,2004,"I spent the insane amount of money to buy this and it is horrible. The ""authentic"" glove is tiny and made out of plastic(The real glove is leather and metal.. some replica) and the jason mask is even smaller(wasn't jason really big in the movie)! I was lucky enough to get a refund! Don't waste your money! MAke your own. It will be cheaper and better!!"
397367,1.0,2004,"this item is great and wonderful for fans of freddy vs jason !!!
it's great !!!"
397376,1.0,2005,"Since I believe the 30's are the new 20's, I generally like to wear as little as possible for a night on the town.

The strapless, off-the shoulder or low necked attire that I prefer usually requires some sort of ""hidden"" support.  Especially with a thirty year old bosom!  I like the fact that this bra has a very low back, stays up perfectly, even after a night of sweaty dancing, and has boning that stays in shape even after being washed repeatedly for a year.

I totally love this bra.  It fits great and is perfect, especially under sweaters.  The only issues I have with this bra are the high price, and the excess of padding in the cups."
397377,-1.0,2006,I was disappointed in this bracelet. Online it looked to have more sparkle and thicker than it is. Does not look like a $100 anklet. I will be returning it.
397389,1.0,2004,"I bought these dolls (all 4) for my girls and they really enjoy them.  They are well made, the hair doesn't tangle like some of the less expensive Barbie dolls.  The clothes are stylish/detailed/current.  The heart shaped case that the dolls come in can be used to carry dolls around/store pieces.  My daughter (age 5) loves the charm bracelet that comes with the dolls. Each outfit also comes with 2 charms that fit on the bracelet.  This was money well spent.  Quality dolls. I hope there are more to come."
397390,1.0,2004,"I just recently purchased these dolls for my 7 year old daughter and she loves them.  She thinks that these dolls are very beautiful and she takes them everywhere she goes.  I have an 8 year old niece who saw these dolls and now she wants me to buy her one.  I definitely plan on buying another one for my niece.  Don't hesitate on buying these dolls, they're very pretty and fun to play with.  Any little girl will love these wonderful dolls."
397391,1.0,2006,"Good value, quick shipping, would highly reccomend."
397392,1.0,2004,"When I ordered this ring, I thought that it would be nice.  I didn't expect it to be such an eye-catching piece of jewelry.  Everyone I work with noticed it and asked where I got it.  I've received more compliments on this ring than my diamond wedding ring, which cost thousands of dollars!  This ring has exceeded my expectations.  I am very happy with my purchase and would not hesitate to buy this ring as a nice gift for a graduate or close family member.  I only wish it came in a ring box rather than a small zip-lock bag inside of a flat box.  If you package it yourself, it will make a nice gift."
397403,1.0,2006,"This ring is really beautiful and does look very nice next to a cathedral setting, but it does have the word ""AMAZON"" stamped on the inside of it.  I'm not sure if this is common for all Amazon jewelry, but it's a little tacky especially if it is going to be a wedding band or such.  It's easy enough to get scratched off, but some people might be displeased with the engraving on the inside so I figured it was worth noting."
397404,1.0,2005,"I was a little nervous to place an order for a ring online. However, since there is a 30 day return policy and because my fiance really liked the look of this, I gave it a try. It arrived quickly. We used super-saver shipping, and it was shipped UPS sign-in-person delivery--it wasn't just left on our doorstep. The ring is very nice--heavy when compared to the rings we looked at in jewelry stores. It is in perfect condition-not blemishes at all. Overall, a better ring for a much better price than anything we saw in a store."
397406,1.0,2004,the first ten superbowls in readers digest form ! games summerized  player and coach profiles  lots of game footage  narrated interesting glimpes of times past !
397410,1.0,2006,"company was fair priced, delivered quickly, very courteous when i had a question, and the items were good quailty. have subsequently purchased from them and plan to again"
397415,1.0,2004,This was ordered a bit to close to the recipients birthday but it turned out as the child was opening gifts the postman arrived and the day was saved.  The pendant was exactly as described and arrived in a very timely manner.  I would definately make another purchase from this vendor.  Thank you.
397416,-1.0,2005,Very disappointed in the appearance and quality of the bracelet and its definitely not worth $45.00 - not even close.
397420,-1.0,2005,the bracelet is gorgeous but it will not stay clasped no matter what i do i will return it.
397421,1.0,2005,"And so does everyone else.  So much so that I've had to buy 3 bags, because my mom and aunts keep taking mine.  Its a lovely bag thats not to formal or too casual, and the perfect size when you have a bit to much for a small purse but don't want to lug around a big tote or duffle bag.  The price is also very reasonable."
397423,1.0,2006,"This is fantastic for anyone who travels abroad often.  There are five separate areas for currency that do not overlap.  It is small and compact and quite easy to travel with.  Rather than exchanging currency on each trip, it is more convenient to keep them until the next visit."
397443,1.0,2005,"When I heard that Giovanni Navarre was developing a prototype fanny pack that even came equipped with a cell phone holder, I went bananas! Well, it's here for everybody now and I couldn't be happier! I keep a few key valuables in my ""Italian Brick.""  Lets go over the list....

1.  ""Special Delivery"" Jones WWF Wrestling figure By LJN.  When I show this to people, they think it's Koko B. Ware, I immediately let them know that's racism, and it's actually Jones, I usually get a lot of blank stares after that.

2.  Switchblade Haircomb.  This impresses the ladies the most, I act like i'm pulling a switchblade ready to gruesomely attack, but then i go ""ohhhhhh!!!!!"" and slick back my hair and spray myself with ""arrogance"" (rick martel fragrance, very rare) I know how to woo the ladies.

3.  Karate Kid Bandana.  I bid on an original from the actual movie, best $44 I ever spent.  I wear this a lot, and is vital that I have it with me at all times.  Sometimes I like to show off a few of my ninja moves when i'm not in full gear I'll just throw on the bandana and it's an instant hit.

That's just a few things that I store in the ""Italian Brick"" there's just so much space you won't know what to do with yourself, you can actually carry small children in it but I wouldn't advise it. I often get mistakened for Bruce Wayne but I have to assure people that he is just a fictional character, I have that effect on people.  Just remember with the brick you can take all your favorite keep-sakes to any adventure and still look stylish and cool.  I've rounded all 3 bases just from talking about the fanny pack, it really is a great conversation starter, but when you have the cunning looks of Ralph Macchio and a kick of Jonathan Taylor Thomas, with the dressing skills of Joey Lawrence, it's not really necessary.  Bottomline, buy this, fanny-packs are back jack!"
397458,1.0,2004,"A bit more flimsy than I expected.  It consists of gold wire twisted into floral branches extending upward, with pearl and a few rhinestone details.  I had to reshape it by bending a few of the individual wire branches so that the peice looked simi-simetrical.  When they say that the pearls go all the way around the back of the headpeice, they do not mean that the floral detail continues.  There is a single strand of tiny (much smaller pearls than on the front) pearls that continues around the back."
397462,1.0,2005,"Woo woo classic Wayfarer style that never goes out of fashion.  With the Matrix being so big, nearly all sunglasses and glasses had this look.  Sorry, I don't want to look like Keanu Reeves, I want DARK sunglasses that do what they are supposed to do, hide me from the sun.  I won't spent a lot of money on three items, watches (I ruin them! Stop them dead in an hour!), sunglasses and pocket books - pocket books I toss away with each season and sunglasses I tend to lose them!  I don't need prescription sunglasses, so I buy off the rack.  If they are dark and perfect glasses to lurk behind they are fine.  However, Wayfarers are my choice.  This style is perfect lurker glasses.  First off they are DARK!  Yeah!  Second they are a flattering style that makes everyone look like a movie star.

Only, it's been hard to find them since Matrix flooded the market.  Of course, these days anything I want it I can find it on Amazon.  So imagine my delight when I checked and found, yeppers, Wayferer style sunglasses where just waiting for me.

These pass all the check on my list.  They are strongly made, they are DARK, and they fit perfectly.  Best of all the price is amazing.  You get them at less than 1/4 of the price.  I was smart and bought me three pair.  That way if I lose one, as I will always do, I have a spare or two!

So if you are wanting really DARK sunglasses, these are it!  Move over Matrix babies...the movie star is back!"
397468,1.0,2006,Ideal watch for young teenage boy.  Beautifully styled with perfect sized dial and band.  All that plus Fossil's quality and dependability make it a great value.
397469,-1.0,2004,This looks fine and keeps adaquate time but the hands are the same color as the background and it is difficult to read in broad daylight and impossible to read in reduced light.
397491,1.0,2006,"i received this as a gift from my wishlist, and it looks 10 times lovlier in person! everytime i wear it (which is often) i get loads of compliments on it! :)"
397493,1.0,2006,"I use this hat for training on the gym, and is verry useful, i can sweat without feeling the warm-head, easy to clean, ( tag says Dry Clean only) but i wash daily with cold water and few soap, and it looks and feels cool"
397495,1.0,2005,"The original bag I ordered was all black and it turns out they were out of stock, but the email I received just informed me that the ordered was cancelled with no explanation.  I had to email ebags to find out why.  They did not suggest another color nor tell me which colors were available.  I was lucky in that the second bag I ordered was in stock.

The bag itself is excellent, good quality and well insulated."
397498,1.0,2005,"Upon opening the packing box I was a little disappointed. I had a slightly different idea of what this bag would feel and look like.  The photo is not misleading, just slightly different - I don't know how... None of this matters though. It's like when you become attracted to the really nice, smart guy who isn't the best looking.  I love this bag, it has served me well and now I'm convinced that it is the cutest bag in the room."
397499,1.0,2006,"I returned back to school a few years ago for a new career in nursing. The books required are always too heavy and thick for oridinary backpacks and wheeled ones which over use tends to always fall apart. I looked everywhere for one that fits. When I first purchased this bag, I thought I hope that it suits my needs. When it arrived and I transferred my books into this bag, I thought Wow! lots of compartments. Easy storage. Even has a good place to store laptop and its cords and stuff. Which was cool.

The only bad thing I can think of about this bag is that its a bit heavy if you carry it by hand....of course, that also depends on how many books you have in your backpack. It comes with a separate compartment for you to carry the bag over the shoulder but the weight of the wheels and the handle makes it very difficult to put that much pressure on your shoulder and can strain the back immediately so i would not recommend it. only other thing is that its a bit bulky so it takes up more than average amount of space at a desk.

overall I have no major complaints on this bag. I have used it for a month now and it is great...for health science majors especially nursing students...because most of the time...we resort to carry our luggage to school as our backpack because of the numerous books we carry in school per day. So I recommend it for students just starting the field of nursing."
397500,1.0,2006,"These are good quality as the waistband has three lines of stitching to the body of the shorts rather than the more usual two.  The grey elastic waistband streaches to about 140% of its normal size and although it isn't as wide (tall) as the one found on men's shorts, it is thicker.  The leg openings are reinforced with double stitching.  Your little boy will out grow these before he wears them out."
397503,1.0,2005,"This necklace is very cute and will probably get better with wear, meaning that it is a little bit too shiny for my conservative tastes.  But at this price, it was a great value for the money.  The cross itself is just the right size; very dainty and pretty colors in the stones.  The chain is a little too shiny but will get better with wear.  A lovely pendant for a teenage girl."
397505,0.0,2006,"My 18-year old son wanted this cross for his birthday and loves it to this day.

However, within a month, the chain broke.  I figured it was no big deal, I'd go buy one from a store.  WRONG.

It's not sterling, nor a type of silver finish that ""matches"" anything in the stores that I could find.

I tried a leather rope, but that didn't work too well either.

My son now has it hanging in his room and it's irritating that he can't wear it.

Otherwise, it's a lovely cross if that's what you're searching for."
397508,1.0,2006,I needed a cheap watch to bang up at work. This thing is very durable and still hasn't been scratched yet. It is very comfortable and nice looking.
397509,1.0,2006,This was an excellent gift for my 2006 graduates!  They were perfectly priced and each of them have the same pair and will remember receiving them for their graduation.  This would be a welcomed addition to any young ladies jewelry chest.
397517,1.0,2006,"Unlike some others who reviewed this product and others like it, I found the mechanics of adding charms to this bracelet fairly simple and obvious.  You just slide one of the links out to full extension, at which time an opening on the bottom becomes visible and the next link just hooks on through that opening.  No sweat!  This was a great gift for my arthritic 70-something mom who has trouble fastening and unfastening most jewelry.  Since this bracelet is stretchy, she can just slip it on and off.  She loves it, and therefore so do I."
397518,1.0,2006,"The bracelet came in a timely manner and was well-packaged. However the bracelet did not have enough links on it especially if you wanted to start with only one charm. Moreover, instructions for adding and taking off links and charms should have come with it since people like me don't know how these bracelets are constructed."
397519,1.0,2005,"I absolutely can't wait to start adding links to this lovely bracelet!  It's positively beautiful.

Great value, too.  But what's astonishing is how FAST it arrived!  I received it within 2 (business) days of ordering!

Great seller, would highly recommend doing business with!  A++++"
397520,1.0,2005,"Super comfortable, the glasses don't fog up even when you're sweating, they breathe well, and come with four sets of lenses.  Easily of the quality of other top brands, but I found these more comfortable, more stylish, and a better value.

Also of note, the company offers a no-questions asked lifetime Warranty on the glasses.  If they break, scratch, bend, or anything, then you can send them in (along with $20), and they'll send the part back, or send you a new pair--effectively extending the useful life of the glasses for as long as the company exists.  This liberal of a warranty is not offered by other manufacturers."
397533,-1.0,2004,"First off, this seller has a lot of gall to put a photo of the glasses that does not match the actual item delivered (whether or not either set of glasses resemble the one Agent Smith wore is another issue).

Now, I was not expecting a high quality replica, it's twenty bucks, but I at least wanted to receive the item depicted on the sales listing.

Noticeable differences:

1)the nose piece looks very different, and is not attached to the glases frames/lenses by brackets, as depicted.

2)The glasses are cheaply and shoddily mirrored, rather than being tinted dark, as depicted.

3)the ear pieces are rounded, not squared off.

4)the frame is thinner than depicted, particularly in the ear piece area.

5)the ear pieces do not attach to the lenses in the manner shown in the photograph, rather, there is a single cheap looking bracket.

All in all, the glasses bear a resemblance to the photo, but are NOT THE SAME."
397534,1.0,2005,I like this item B0002MQR6C very much You should read more reviews to find out more about it
397548,1.0,2004,"At last!  I can apply a generous gob of orange flavored Crest toothpaste and imagine I am a Nascar racer!  I live in an apartment next to a highway, so the feeling is almost surreal when I brush my teeth.  Statistically speaking, many Nascar fans don't even have teeth, but this shouldn't stop them from buying this product anyway.  The cross-action bristle design is effective for scrubbing both teeth and gums.  Sheer marketing brillance."
397572,0.0,2006,"I have tapered toes, a high arch, and narrow feet; these were my first shoes. They were decent in that the support was good, and the wide platform allowed me to balance for a long time without issue. However, if your feet are like mine, you may feel constricted by the width of the shoe, since it doesn't allow for all that much movement. I suggest it for beginning students with non-tapered, slightly wide-wide feet. It's really best to go to a store and be professionally fitted. All in all, the shoes were worth the $29, but not the right kind for my feet."
397573,0.0,2005,"You know your feet the best, but for me, these were hard to break in and when they did, the arch wasn't in the right place. They were never the right shape for my feet, making them look shorter than they really are. That made it harder to get nice lines. The plie II's (capezio) worked better for me, but these might do the trick for you and they're quite a bit cheaper. These are great if you have a wider toe and a strong arch."
397581,1.0,2005,I received this wallet as a gift last christmass and must say that it is just perfect. I was looking for a slim and discreet wallet I could use everyday without feeling like having a bulky thing in my pocket. I looked for a similar wallet before but never found one this convenient. It holds easily bank notes and also has a small inside pocket for credit cards and licenses... I am just lovin' it!
397582,1.0,2005,"I ordered this wallet for christmass and it was exactly what I expected. It is very slim and still has room for several credit cards and driver license. The leather ages very well too. Quiet frankly, it is a great buy and I would highly recommend this to anyone seeking a slim and convenient wallet."
397614,1.0,2006,The shoes are a great value for hip hop and jazz.  They work great when for hip hop tricks and tumbling.  I needed to order a 1/2 size larger.
397615,0.0,2005,"shipping was like any item like within a week which was good. however, when i use them in dance class, i slip and fall with them because the bottom of it won't ""grip"" as other hip-hop shoes. YOU MUST ORDER AT LEAST A SIZE BIGGER!! when i bought it, it didn't say u had to order at least a half size so i bought my regular size and i was like ""next time i must order a full size bigger"". now i can't use it."
397619,1.0,2005,"My fiancee wanted a sapphire ring rather than a diamond and specifically wanted a trillion cut, dark sapphire. This ring was exactly what she wanted and matched the picture perfectly. She was thrilled with it. The only caveat I can see is that it can take a few days before items are shipped, even when expedited shipping is selected."
397630,1.0,2004,I bought the same style (with purple lenses) while in Italy a couple of years ago and these have been my favorite sunglasses ever.  Very comfortable and chic!
397639,1.0,2006,I purchased these as a gift and was really impressed by how incredibly soft they are.  (I wish they made women's shirts out of the same soft cotton.)  Everyone I showed they too really liked the cute pink and yellow outfits.  I am very pleased with this purchase.
397641,1.0,2006,"These are good quality baby bodysuits, and very reasonably priced.  Make sure you buy the size according to your baby's weight and height and not by the age posted.  My 3 month old girl is wearing the 6-9 month size. They are a little big, but thats great because they will last longer. Warning: the medium green body suit is not color fast, and will end up looking like ""camo"" wear after you wash it.  The other body suits in the green pack are color fast and will not fade quickly.  It seems it is just the one green bodysuit that doesn't hold up well.  I did not have any fading in the pink bodysuits.  All in all I'd recommend these."
397642,1.0,2006,"Very nice basic clothing.  I think the size is fine.  I really like being able to find these shades of green, though I have decided the lighter shade is really a feminine color.  This is the only brand that I can find these muted greens."
397643,1.0,2005,"The quality of the bodysuits are very good.  They are well made and good material.  However they get three stars because of the sizing issue.  My son is 10 months old and so I got him what I thought would be ones he could grow into...the 9-12 month, 27-34 lbs.  This was not the case as soon as I washed them they shrunk to about the size of a 6-9 months onesie.  The are good but if you order them order at least one to two sizes bigger than you think you will need."
397645,1.0,2005,"i thought $10 for a 3 pack... they probably suck. But actually these socks are awesome. They're soft and comfortable, don't fall apart, and work well for moderate to cold temperatures. I've even worn them during hot weather, and they breathe and get rid of the sweat better than some socks twice the price. Worth more than the price."
397647,-1.0,2006,"These looked nice, but the fabric is very cheap and stretches out too easily. I haven't had a problem with the velcro coming undone often, but the velcro isn't sewn on very well and the strips are small enough to be a choking hazard! I tore off the velcro that was coming off before it could fall off on its own. Very dangerous."
397648,-1.0,2005,The velcro does not hold the fabric closed!  Every time I would pick up my daughter the velcro would pop open and the clothing would slip up her sides.  I thought I was going to have my baby slide right out of her clothes!  Also- the fabric was see-through it was so thin. I threw them all away.  They were just a waste of money.
397649,-1.0,2005,"I was extremely disappointed with this purchase. I've bought bodysuits from different sources & they were all of good quality thick cotton. These bodysuits were very thin,& after pre-washing them (I always do before I use them on my baby), they were stretched out, so my baby didn't even wear his new clothes without them looking ""old""!!!I wouldn't recommend this to anyone. It's not worth the money."
397652,1.0,2006,"This organizer is great for travelling.  Everything you need for the airplane right there - passport, pen, ID's, money, and tickets."
397653,1.0,2006,"This laptop bag is great and looks fabulous. It was original made for a 15"" laptop, but had the width to house an 18.1"", so I cut out the computer pocket in the center.  Funny thing is, the construction on the interior fabric is great, so if you're careful when you cut it out, you won't see anything at all.  Also, you can avoid cutting altogether (if you don't want extra padding) and just remove the laptop cubby and center liner with the Velcro."
397667,1.0,2005,"This is a heavy, solid ring, suitable for office wear yet glamorous enough for evening.  The pav diamonds are understated and the sapphire fits within the width of the band.

The sapphire is very dark, with very little ""fire,"" which undoubtedly contributes to the low price.  At the ""full price"" listed for this piece (which would be a major outlay) I would probably lower this rating.  However, at the ""closeout price"" (similar to a plain band ring in platinum) it made a great gift.

Kudos to Secure Hoop, who went out of their way to devise a very nice gift wrap and to assure delivery."
397761,-1.0,2006,"I have had nothing but problems with this bracelet. Everytime I wear it something breaks. Either the cross gets caught on something and falls off or the links pull apart so that the whole bracelet falls off. I've even had the center Ball on a wire peice fall of. How it came off of both sides at onece is beyond me. Whats more, it snags on all my clothing. Don't bye this unless you want to fix it every time you wear it."
397769,1.0,2006,perfect exactly as I expected it to be :) would buy from again
397772,1.0,2006,"I bought this for my son who loves dragons.  HE LOVES THIS RING. The pictures don't really do the ring justice, it has a very high quality appearance and a nice heft.  My sons loves showing his dragon claw ring off to everyone, and everyone thinks it's pretty groovy."
397807,1.0,2006,"These shirts fit my baby great (he is nine months old and a little tall for his age, but average weight).  The sleeves go all the way to his wrists and he has room to grow.  The cotton is very soft and thick, and I love the colors (I bought the green set).  They are also long on his body, so they don't ruck up everytime I pick him up."
397808,1.0,2005,"I love these t-shirts.  They are soft cotton and fit my 8 lb baby great.  Plus, cute colors and designs.  Such a deal."
